biosample	classification	organ_slims	n_dnase_files	n_bio_reps	n_experiments	best_accession	best_file_size	best_experiment	best_date	encode_phase	pipeline_version	has_h3k27ac	has_rna_seq
prostate gland	tissue	prostate gland	2	1	1	ENCFF055JKU	11930194085	ENCSR564FZH	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
psoas muscle	tissue	musculature of body	10	2	5	ENCFF901DPU	8396275415	ENCSR000ELO	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
pulmonary artery endothelial cell	primary cell	arterial blood vessel,epithelium,vasculature,blood vessel	2	1	1	ENCFF186ZTP	2231805900	ENCSR000EOG	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
putamen	tissue	brain	3	1	1	ENCFF607EJH	9283477994	ENCSR493VDS	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
renal cortex interstitium	tissue	kidney	22	1	11	ENCFF857XLA	4466496078	ENCSR656QYL	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
renal cortical epithelial cell	primary cell	kidney,epithelium	4	2	1	ENCFF570QNB	1718778272	ENCSR000EOK	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
renal pelvis	tissue	kidney	20	1	10	ENCFF321HUE	4122331949	ENCSR554WUJ	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
retina	tissue	eye	13	2	3	ENCFF088BRR	16013755095	ENCSR820ICX	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
retinal pigment epithelial cell	primary cell	epithelium,eye	4	2	1	ENCFF227FDU	2332247709	ENCSR000EON	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
right atrium auricular region	tissue	heart	4	1	2	ENCFF942IMH	15741908498	ENCSR278SKG	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	True	True
right cardiac atrium	tissue	heart	3	1	3	ENCFF629PRO	11292034831	ENCSR622HTS	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	True	True
right forelimb	tissue	bone element,limb,skeleton	2	1	1	ENCFF458SRL	11255431936	ENCSR274SDO	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
right hindlimb	tissue	bone element,limb,skeleton	2	1	1	ENCFF971JAG	12814928137	ENCSR449HOQ	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
right kidney	tissue	kidney	21	1	10	ENCFF549PCJ	1958403906	ENCSR414ZUA	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
right lobe of liver	tissue	exocrine gland,endocrine gland,liver	6	1	5	ENCFF241TNZ	19016112485	ENCSR909HFI	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
right lung	tissue	lung	22	1	11	ENCFF002TGJ	2672079825	ENCSR964VVW	2020-09-19	ENCODE4	dnase-alignment-step-v-1-0	False	True
right renal cortex interstitium	tissue	kidney	6	1	3	ENCFF613UDL	2383538830	ENCSR014VAC	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	True
right renal pelvis	tissue	ureter,kidney	8	1	4	ENCFF602RBS	1838744603	ENCSR540PVZ	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
sciatic nerve	tissue	nerve	1	1	1	ENCFF659HLR	14434649647	ENCSR672MOG	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
sigmoid colon	tissue	colon,large intestine,intestine	5	1	3	ENCFF092HJS	13175740754	ENCSR462XTM	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	True	True
skeletal muscle cell	primary cell	musculature of body	2	1	1	ENCFF724SPV	2184596304	ENCSR000EQA	2020-09-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
skeletal muscle myoblast	primary cell	musculature of body	5	2	1	ENCFF372SZT	2945700325	ENCSR000EOO	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	True	True
skin of body	tissue	skin of body	2	1	1	ENCFF399CAU	2532340126	ENCSR092OFK	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	True
small intestine	tissue	intestine,small intestine	27	1	13	ENCFF931AYT	27952550481	ENCSR945RWN	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
smooth muscle cell of the brain vasculature	primary cell	brain,vasculature	4	2	1	ENCFF980FWK	1669012388	ENCSR000ENG	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
spinal cord	tissue	spinal cord	14	2	6	ENCFF472CKP	25506610968	ENCSR678PDD	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
spleen	tissue	immune organ,spleen	7	1	5	ENCFF627PAP	20317672583	ENCSR128GBN	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
stimulated activated CD4-positive, alpha-beta T cell	primary cell	blood,bodily fluid	55	1	55	ENCFF550ZQO	1610697990	ENCSR618HFT	2020-09-26	ENCODE4	dnase-alignment-step-v-1-0	False	False
stimulated activated CD8-positive, alpha-beta memory T cell	primary cell	blood,bodily fluid	27	1	27	ENCFF731QFV	1623232968	ENCSR205ECC	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	False
stimulated activated effector memory CD8-positive, alpha-beta T cell	primary cell	blood,bodily fluid	2	1	2	ENCFF272RYX	18908496320	ENCSR917BSW	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	False
stimulated activated naive B cell	primary cell	bodily fluid,blood	1	1	1	ENCFF193AFN	7196743606	ENCSR438LZG	2021-09-01	ENCODE4	dnase-alignment-step-v-1-0	False	False
stimulated activated naive CD8-positive, alpha-beta T cell	primary cell	bodily fluid,blood	3	1	3	ENCFF671CWY	8916105027	ENCSR208YDK	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	False
stomach	tissue	stomach	43	2	21	ENCFF815LKJ	3009027957	ENCSR782SSS	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
stromal cell of bone marrow	primary cell	connective tissue,bone marrow,bone element	4	2	1	ENCFF753KFY	1675346023	ENCSR000EMH	2020-09-19	ENCODE4	dnase-alignment-step-v-1-0	False	False
superior temporal gyrus	tissue	brain	2	1	1	ENCFF480DYF	38756540638	ENCSR382JUJ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
suppressor macrophage	primary cell	bodily fluid,blood	9	3	8	ENCFF525LCW	13557968918	ENCSR405FAK	2020-10-01	ENCODE4	dnase-alignment-step-v-1-0	False	False
suprapubic skin	tissue	skin of body	4	1	2	ENCFF859VQC	14191657054	ENCSR709IYR	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
testis	tissue	testis,gonad	8	1	4	ENCFF419SVL	3401840316	ENCSR729DRB	2020-11-10	ENCODE4	dnase-alignment-step-v-1-0	True	True
thoracic aorta	tissue	vasculature,blood vessel,arterial blood vessel	1	1	1	ENCFF477PJL	4107445055	ENCSR298SDT	2020-09-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
thymus	tissue	immune organ,endocrine gland,thymus	19	1	9	ENCFF706IXZ	2474606569	ENCSR544KDB	2020-09-21	ENCODE4	dnase-alignment-step-v-1-0	True	True
thyroid gland	tissue	thyroid gland,endocrine gland	8	1	4	ENCFF107AQU	12244577885	ENCSR749MUH	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
tibial artery	tissue	arterial blood vessel,vasculature,limb,blood vessel	6	1	3	ENCFF177FXK	11577099836	ENCSR080ISA	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	True	False
tibial nerve	tissue	nerve,limb	6	1	3	ENCFF237FZE	16625509128	ENCSR401ESD	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	True	True
tongue	tissue	tongue,mouth	6	2	2	ENCFF132CZK	24614598297	ENCSR559WMK	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
transverse colon	tissue	colon,large intestine,intestine	8	1	4	ENCFF923VQN	11992855073	ENCSR760QZM	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	True
trophoblast cell	in vitro differentiated cells	embryo,extraembryonic component	17	2	5	ENCFF235GOT	17012802786	ENCSR179CDH	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
type B pancreatic cell	in vitro differentiated cells	epithelium,endocrine gland,pancreas	1	1	1	ENCFF876VGG	13556225119	ENCSR362ZFC	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
umbilical cord	tissue	extraembryonic component	4	2	1	ENCFF479TTY	10505430751	ENCSR512CWR	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
upper lobe of left lung	tissue	lung	11	1	7	ENCFF564JJQ	11520214332	ENCSR702DPD	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
upper lobe of right lung	tissue	lung	1	1	1	ENCFF622KRL	18569178737	ENCSR357AWH	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	True	True
ureter	tissue	kidney,ureter	1	1	1	ENCFF581SBD	15598381217	ENCSR398JUP	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
urinary bladder	tissue	urinary bladder	2	1	1	ENCFF404UTY	4392293976	ENCSR813CKU	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	True
urothelium cell line	cell line	epithelium	6	1	2	ENCFF417VEK	12480920651	ENCSR000ELV	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
uterus	tissue	uterus	3	1	2	ENCFF806URB	10594810175	ENCSR129BZE	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
vagina	tissue	vagina	4	1	2	ENCFF601HZE	11534516070	ENCSR733YNW	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	True
